net_add: [0 0 0 0 1 1 -1 1 1 1 0 -4 -1 4 -1 2 2 5 -11 2 -2 0 -1 -1
-1 -2 0 0 0 0 0 -1 5 -1 -2 0 0 -3 -4 -2 -3 -3 1 -1 2 -4 0 0
0 0 0 0 0 0 0 -1 3 1 -1 -1 -2 -1 -3 1 -6 0 -6 -2 0 0 -3 -3
0 0 0 -1 0 0 0 -3 0 -5 2 0 -2 0 1 -1 2 1 0 6 2 0 1 0
-1 0 0 0 0 0 0 0 3 2 7 2 7 3 -5 1 -1 1 -1 -3 -1 2 -1 -2
3 0 0 -1 0 0 0 0 1 0 0 3 -5 -3 -1 0 -3 0 0 2 -1 0 -1 0
0 -1 0 -1 0 1 2 -3 -2 1 1 3 3 -4 -2 -1 -3 -3 -3 -2 1 2 0 -2
-2 0 0 0 0 0 -1 -2 -1 7 -3 -3 1 -1 0 -2 1 2 3 2 1 0 1 0
0 0 0 0 0 -1 0 2 3 -1 0 2 2 1 -1 2 -2 -2 0 0 1 -1 1 -1
-1 1 0 0 0 0 -1 -1 1 0 -1 -3 -3 -3 -4 -2 -1 -1 0 0 0 -1 0 0
0 0 0 0 0 0 0 0 1 0 0 0 -1 0 1 0 -1 0 0 0 0 0 0 0
-1 0 0 0 0 2 0 -1 -1 -1 0 -2 -1 -1 0 1 -3 3 -1 0 1 0 0 1
-4 -2 -2 0 -1 0 0 0 -2 -1 -8 -7 -1 -5 2 2 0 7 2 -2 -2 3 1 -1
-2 0 3 0 0 0 0 -2 -6 1 -3 -1 -1 -1 -1 0 0 4 2 -1 0 4 0 -1
0 1 0 0 0 0 -2 -3 -5 -1 -2 0 -1 1 4 3 2 3 8 4 1 0 -1 0
-1 -2 -1 3 0 0 1 -3 1 -1 2 -2 -1 0 -1 -3 -8 1 1 -2 -1 -3 2 4
0 0 0 0 0 0 -1 -3 -1 1 -2 -2 0 -2 -7 1 1 -2 -5 -1 3 -2 1 -1
0 -1 1 0 -1 0 3 0 0 -10 2 -1 1 0 0 -1 2 0 -1 -1 1 -1 0 0
0 0 0 1 0 0 0 0 0 0 -2 0 -1 0 1 0 1 -1 1 -1 1 0 0 0
-2 2 1 0 0 0 0 0 -1 -2 -1 -1 2 -4 1 0 3 3 4 2 1 2 0 2
0 0 0 0 0 0 0 0 0 -1 0 0 1 2 1 0 -2 0 -1 0 0 0 1 0
1 0 0 0 0 0 0 0 -1 0 0 1 -2 -4 0 0 0 0 1 -1 1 0 0 0
1 0 1 1 0 0 -3 0 0 2 2 1 0 -2 0 -1 1 0 1 -2 -1 -1 -1 1
1 0 0 0 -1 1 0 6 -3 -3 -1 -1 -1 -1 1 1 1 1 3 1 0 -1 3 -1
-1 1 -1 0 0 0 0 0 -1 2 -1 -8 -3 1 1 -5 1 0 -5 5 2 2 1 3
-1 0 0 0 0 0 -1 0 -2 0 -3 2 0 2 3 -2 1 -1 2 1 1 1 0 1
0 0 -1 1 0 0 1 0 0 0 0 0 0 -2 0 1 1 0 0 0 0 -1 0 0
0 0 0 0 0 3 -1 -1 -7 -3 1 -1 1 3 3 -2 0 -4 2 4 2 -3 1 -1
1 0 -1 1 0 0 -2 0 -1 1 -5 -2 -8 3 -2 4 5 0 1 0 0 -1 0 4
0 0 0 0 0 0 0 -1 0 -2 -2 2 -3 -3 0 1 2 2 2 0 1 0 0 0
0 -2 0 -1 0 0 0 -2 0 1 2 3 -2 -2 0 0 0 -2 0 3 -1 -3 0 -1
0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 2 0 0 0 1 0 0 0
0 0 0 0 0 -1 0 -2 -1 1 -1 0 -1 5 0 -1 -3 4 0 1 0 -1 0 1
0 0 0 0 0 0 0 0 1 -1 -1 1 0 -1 2 2 -2 -2 0 0 0 1 1 -1
0 0 1 0 0 0 1 1 21 4 -2 3 1 1 0 0 -6 -3 -2 0 -1 1 0 0
0 0 0 0 0 0 1 0 0 2 1 2 -1 1 0 0 1 6 0 1 -1 1 0 -1
1 0 0 0 0 0 0 0 4 1 1 3 1 -1 -2 -3 0 2 1 -2 1 1 0 1
0 0 0 0 0 0 0 0 0 0 2 1 1 -1 0 -1 1 2 0 0 0 -1 -1 0
6 0 0 0 3 0 -1 0 -6 -3 -1 1 -1 0 1 0 1 9 -5 -1 0 0 -6 0
0 0 0 0 0 1 0 0 0 0 0 0 0 -1 1 0 1 0 1 0 0 0 0 0
-1 -1 0 -1 0 -2 -1 -2 -6 -4 1 -2 0 1 1 -2 1 -5 -3 -2 6 1 2 0
0 0 0 1 0 -1 0 0 -3 -2 -3 -1 0 0 3 -2 2 -2 1 1 0 2 0 -1
0 0 0 0 0 2 1 0 -2 1 0 0 0 -1 0 -2 0 2 0 0 0 0 0 0
0 0 -1 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 -1 -2 0 3 -1 3 2 1 0 5 1 0 2 4 0 0
0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 -1 -2 0 0 0 0 0 0
0 2 0 -1 0 0 0 0 2 0 -2 4 -3 -4 1 1 1 0 0 0 0 0 1 0
-1 0 0 -1 0 -1 1 0 -1 0 -1 0 -1 4 -1 -1 4 3 2 2 -1 1 -3 -2
]
ini_bikes: [5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
